name,age,height,position,foot,current club,09/10 date,09/10 left,09/10 joined,09/10 mv,09/10 fee,10/11 date,10/11 left,10/11 joined,10/11 mv,10/11 fee,11/12 date,11/12 left,11/12 joined,11/12 mv,11/12 fee,12/13 date,12/13 left,12/13 joined,12/13 mv,12/13 fee,15/16 date,15/16 left,15/16 joined,15/16 mv,15/16 fee,17/18 date,17/18 left,17/18 joined,17/18 mv,17/18 fee,current league,01/02 date,01/02 left,01/02 joined,01/02 mv,01/02 fee,06/07 date,06/07 left,06/07 joined,06/07 mv,06/07 fee,14/15 date,14/15 left,14/15 joined,14/15 mv,14/15 fee,16/17 date,16/17 left,16/17 joined,16/17 mv,16/17 fee,03/04 date,03/04 left,03/04 joined,03/04 mv,03/04 fee,04/05 date,04/05 left,04/05 joined,04/05 mv,04/05 fee,05/06 date,05/06 left,05/06 joined,05/06 mv,05/06 fee,07/08 date,07/08 left,07/08 joined,07/08 mv,07/08 fee,08/09 date,08/09 left,08/09 joined,08/09 mv,08/09 fee,13/14 date,13/14 left,13/14 joined,13/14 mv,13/14 fee,19/20 date,19/20 left,19/20 joined,19/20 mv,19/20 fee,18/19 mv,18/19 date,18/19 left,18/19 joined,18/19 fee,02/03 date,02/03 left,02/03 joined,02/03 mv,02/03 fee,98/99 date,98/99 left,98/99 joined,98/99 mv,98/99 fee,99/00 date,99/00 left,99/00 joined,99/00 mv,99/00 fee,00/01 date,00/01 left,00/01 joined,00/01 mv,00/01 fee,97/98 date,97/98 left,97/98 joined,97/98 mv,97/98 fee
Ederson,26,188.0,Goalkeeper,left,Manchester City,"Jan 1, 2010",São Paulo U17,Benfica U17,0,?,"Jul 1, 2010",Benfica U17,Benfica U19,0,0,"Jul 1, 2011",Benfica U19,GD Ribeirão,0,Free transfer,"Jul 1, 2012",GD Ribeirão,Rio Ave FC,0,Free transfer,"Jul 1, 2015",Rio Ave FC,Benfica,"1,20 mil. €",500 K €,"Jul 1, 2017",Benfica,Man City,"22,00 mil. €","40,00 mil. €",Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudio Bravo,36,184.0,Goalkeeper,right,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,"Jan 1, 2002",Colo Colo U19,Colo Colo,0.0,0,"Jul 1, 2006",Colo Colo,Real Sociedad,0,"1,20 mil. €","Jul 1, 2014",Real Sociedad,FC Barcelona,"4,00 mil. €","12,00 mil. €","Aug 25, 2016",FC Barcelona,Man City,"15,00 mil. €","18,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Carson,34,188.0,Goalkeeper,right,Manchester City,,,,,,,,,,,"Jul 1, 2011",West Brom,Bursaspor,"3,50 mil. €","2,20 mil. €",,,,,,"Jul 1, 2015",Wigan,Derby,"2,00 mil. €",?,,,,,,Premier League,,,,,,"Jul 8, 2007Aug 16, 2006",CharltonLiverpool,LiverpoolCharlton,"2,50 mil. €1,75 mil. €",End of loanLoan,,,,,,,,,,,"Jul 1, 2003",Leeds U18,Leeds,0.0,0,"Jan 21, 2005",Leeds,Liverpool,750 K €,"1,40 mil. €","May 1, 2006Mar 10, 2006",Sheff WedLiverpool,LiverpoolSheff Wed,"1,75 mil. €1,75 mil. €",End of loanLoan,"Jun 30, 2008Aug 10, 2007",Aston VillaLiverpool,LiverpoolAston Villa,"5,25 mil. €2,50 mil. €",End of loanLoan,"Jul 18, 2008",Liverpool,West Brom,"6,00 mil. €","4,00 mil. €","Jul 4, 2013",Bursaspor,Wigan,"4,20 mil. €",820 K €,"Aug 8, 2019",Derby,Man City,"2,00 mil. €",Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aymeric Laporte,25,191.0,Defender - Centre-Back,left,Manchester City,,,,,,,,,,,"Jul 1, 2011",Bilbao U19,CD Basconia,,0,"Dec 17, 2012Jul 1, 2012",Bilbao AthleticCD Basconia,AthleticBilbao Athletic,,0,,,,,,"Jan 30, 2018",Athletic,Man City,,"65,00 mil. €",Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Stones,25,188.0,Defender - Centre-Back,right,Manchester City,,,,,,,,,,,"Jul 1, 2011",Barnsley U18,Barnsley FC,0,0,"Jan 31, 2013",Barnsley FC,Everton,100 K €,"3,50 mil. €",,,,,,,,,,,Premier League,,,,,,,,,,,,,,,,"Aug 9, 2016",Everton,Man City,"28,00 mil. €","55,60 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolás Otamendi,31,183.0,Defender - Centre-Back,right,Manchester City,,,,,,"Aug 31, 2010",Vélez Sarsfield,FC Porto,"5,00 mil. €","4,00 mil. €",,,,,,,,,,,"Aug 20, 2015",Valencia,Man City,"25,00 mil. €","44,60 mil. €",,,,,,Premier League,,,,,,,,,,,"Jul 1, 2014",FC Porto,Valencia,"12,00 mil. €","12,00 mil. €",,,,,,,,,,,,,,,,,,,,,"Jul 1, 2007",Vélez U20,Vélez II,0,0,"Jan 1, 2009",Vélez II,Vélez Sarsfield,50 K €,0,"Jun 30, 2014Jan 31, 2014",Atlético-MGFC Porto,FC PortoAtlético-MG,"12,00 mil. €13,00 mil. €",End of loanLoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric García,18,182.0,Defender - Centre-Back,right,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Mendy,25,185.0,Defender - Left-Back,left,Manchester City,,,,,,,,,,,"Jul 1, 2011",Le Havre U19,AC Le Havre,0,0,,,,,,,,,,,"Jul 24, 2017",Monaco,Man City,"13,00 mil. €","57,50 mil. €",Premier League,,,,,,,,,,,,,,,,"Jul 1, 2016",Marseille,Monaco,"6,50 mil. €","13,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 9, 2013",AC Le Havre,Marseille,"2,00 mil. €","4,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oleksandr Zinchenko,22,175.0,Defender - Left-Back,left,Manchester City,,,,,,,,,,,,,,,,"Jul 1, 2012",Shakhtar Donetsk U17,Shakhtar U19,0,0,,,,,,,,,,,Premier League,,,,,,,,,,,"Feb 13, 2015Jul 1, 2014",Career breakShakhtar U19,UfaCareer break,0,0,"Jun 30, 2017Aug 26, 2016Jul 4, 2016",PSV EindhovenMan CityUfa,Man CityPSV EindhovenMan City,"4,50 mil. €4,00 mil. €4,00 mil. €","End of loanLoan2,00 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angeliño,22,175.0,Defender - Left-Back,left,Manchester City,,,,,,,,,,,,,,,,,,,,,"Oct 31, 2015Jul 8, 2015",NYCFCMan City U21,Man City U21NYCFC,,End of loanLoan,"Jun 29, 2018Jul 4, 2017",NAC BredaMan City U23,Man City U23NAC Breda,,End of loanLoan,Premier League,,,,,,,,,,,"Jul 1, 2014",Man City U18,Man City U21,,0,"Jun 30, 2017Jan 31, 2017Jan 30, 2017Jan 1, 2017",RCD MallorcaMan City U23GironaMan City U23,Man City U23RCD MallorcaMan City U23Girona,,End of loanLoanEnd of loanLoan,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 3, 2013",Deportivo de La,Man City U18,,"4,50 mil. €","Jul 3, 2019",PSV Eindhoven,Man City,,"12,00 mil. €",,"Jul 1, 2018",Man City U23,PSV Eindhoven,"5,50 mil. €",,,,,,,,,,,,,,,,,,,,,,,,,
