,name,age,height,position,current club,19/20 games,19/20 goals,19/20 assists,19/20 minutes
0,Aymeric Laporte,25,191.0,W,Manchester City,4.0,0.0,0.0,307.0
1,John Stones,25,188.0,W,Manchester City,2.0,0.0,0.0,180.0
2,Nicolás Otamendi,31,183.0,W,Manchester City,4.0,0.0,0.0,360.0
3,Benjamin Mendy,25,185.0,W,Manchester City,,,,
4,Oleksandr Zinchenko,22,175.0,W,Manchester City,5.0,0.0,0.0,450.0
5,Angeliño,22,175.0,W,Manchester City,0.0,0.0,0.0,0.0
6,João Cancelo,25,182.0,W,Manchester City,1.0,0.0,0.0,0.0
7,Kyle Walker,29,183.0,W,Manchester City,5.0,0.0,1.0,450.0
8,Rodri,23,191.0,W,Manchester City,5.0,0.0,0.0,380.0
9,Fernandinho,34,179.0,W,Manchester City,1.0,0.0,0.0,53.0
10,Ilkay GÃ¼ndogan,28,180.0,W,Manchester City,5.0,0.0,0.0,208.0
11,Phil Foden,19,171.0,W,Manchester City,2.0,0.0,0.0,11.0
12,Kevin De Bruyne,28,181.0,W,Manchester City,5.0,1.0,5.0,418.0
13,David Silva,33,170.0,W,Manchester City,5.0,0.0,5.0,321.0
14,Raheem Sterling,24,170.0,W,Manchester City,5.0,6.0,0.0,450.0
15,Leroy Sané,23,184.0,W,Manchester City,1.0,0.0,0.0,13.0
16,Bernardo Silva,25,173.0,W,Manchester City,4.0,1.0,0.0,261.0
17,Riyad Mahrez,28,179.0,W,Manchester City,4.0,0.0,3.0,201.0
18,Gabriel Jesus,22,175.0,CF,Manchester City,3.0,1.0,0.0,170.0
19,Sergio Agüero,31,173.0,CF,Manchester City,4.0,6.0,1.0,267.0
20,Virgil van Dijk,28,193.0,W,Liverpool FC,6.0,1.0,1.0,570.0
21,Joe Gomez,22,188.0,W,Liverpool FC,3.0,0.0,0.0,300.0
22,Joel Matip,28,195.0,W,Liverpool FC,5.0,2.0,0.0,413.0
23,Dejan Lovren,30,188.0,W,Liverpool FC,0.0,0.0,0.0,0.0
24,Andrew Robertson,25,178.0,W,Liverpool FC,6.0,0.0,0.0,540.0
25,Trent Alexander-Arnold,20,180.0,W,Liverpool FC,6.0,0.0,2.0,457.0
26,Nathaniel Clyne,28,175.0,W,Liverpool FC,,,,
27,Fabinho,25,188.0,W,Liverpool FC,6.0,0.0,1.0,473.0
28,Naby Keïta,24,172.0,W,Liverpool FC,1.0,0.0,0.0,23.0
29,Georginio Wijnaldum,28,175.0,W,Liverpool FC,6.0,0.0,0.0,485.0
30,Jordan Henderson,29,187.0,W,Liverpool FC,6.0,0.0,0.0,451.0
31,Alex Oxlade-Chamberlain,26,175.0,W,Liverpool FC,5.0,0.0,0.0,177.0
32,James Milner,33,175.0,W,Liverpool FC,4.0,0.0,1.0,163.0
33,Adam Lallana,31,172.0,W,Liverpool FC,2.0,0.0,0.0,15.0
34,Sadio Mané,27,174.0,W,Liverpool FC,5.0,4.0,1.0,371.0
35,Mohamed Salah,27,175.0,W,Liverpool FC,6.0,3.0,2.0,559.0
36,Xherdan Shaqiri,27,169.0,W,Liverpool FC,2.0,0.0,0.0,16.0
37,Roberto Firmino,27,181.0,CF,Liverpool FC,6.0,2.0,3.0,500.0
38,Divock Origi,24,185.0,CF,Liverpool FC,5.0,1.0,1.0,186.0
39,Davinson SÃ¡nchez,23,187.0,W,Tottenham Hotspur,4.0,0.0,0.0,360.0
