,name,age,height,position,current club,15/16 date,15/16 left,15/16 joined,15/16 mv
0,Ederson,26,188.0,Goalkeeper,Manchester City,"Jul 1, 2015",Rio Ave FC,Benfica,"1,20 mil. €"
1,Claudio Bravo,36,184.0,Goalkeeper,Manchester City,,,,
2,Scott Carson,34,188.0,Goalkeeper,Manchester City,"Jul 1, 2015",Wigan,Derby,"2,00 mil. €"
3,Aymeric Laporte,25,191.0,Defender - Centre-Back,Manchester City,,,,
4,John Stones,25,188.0,Defender - Centre-Back,Manchester City,,,,
5,Nicolás Otamendi,31,183.0,Defender - Centre-Back,Manchester City,"Aug 20, 2015",Valencia,Man City,"25,00 mil. €"
6,Eric García,18,182.0,Defender - Centre-Back,Manchester City,,,,
7,Benjamin Mendy,25,185.0,Defender - Left-Back,Manchester City,,,,
8,Oleksandr Zinchenko,22,175.0,Defender - Left-Back,Manchester City,,,,
9,Angeliño,22,175.0,Defender - Left-Back,Manchester City,"Oct 31, 2015Jul 8, 2015",NYCFCMan City U21,Man City U21NYCFC,
10,João Cancelo,25,182.0,Defender - Right-Back,Manchester City,"Jul 1, 2015",Benfica,Valencia,"5,00 mil. €"
11,Kyle Walker,29,183.0,Defender - Right-Back,Manchester City,,,,
12,Rodri,23,191.0,Midfielder - Defensive Midfield,Manchester City,"Jul 1, 2015",Villarreal U19,Villarreal CF B,0
13,Fernandinho,34,179.0,Midfielder - Defensive Midfield,Manchester City,,,,
14,Ilkay GÃ¼ndogan,28,180.0,Midfielder - Central Midfield,Manchester City,,,,
15,Phil Foden,19,171.0,Midfielder - Central Midfield,Manchester City,,,,
16,Kevin De Bruyne,28,181.0,Midfielder - Attacking Midfield,Manchester City,"Aug 30, 2015",VfL Wolfsburg,Man City,"45,00 mil. €"
17,David Silva,33,170.0,Midfielder - Attacking Midfield,Manchester City,,,,
18,Raheem Sterling,24,170.0,Forward - Left Winger,Manchester City,"Jul 14, 2015",Liverpool,Man City,"40,00 mil. €"
19,Leroy Sané,23,184.0,Forward - Left Winger,Manchester City,"Jul 1, 2015",Schalke 04 U19,FC Schalke 04,"4,00 mil. €"
20,Bernardo Silva,25,173.0,Forward - Right Winger,Manchester City,,,,
21,Riyad Mahrez,28,179.0,Forward - Right Winger,Manchester City,,,,
22,Gabriel Jesus,22,175.0,Forward - Centre-Forward,Manchester City,,,,
23,Sergio Agüero,31,173.0,Forward - Centre-Forward,Manchester City,,,,
24,Alisson,27,191.0,Goalkeeper,Liverpool FC,,,,
25,Adrián,32,190.0,Goalkeeper,Liverpool FC,,,,
26,Caoimhin Kelleher,20,188.0,Goalkeeper,Liverpool FC,,,,0.0
27,Andy Lonergan,35,193.0,Goalkeeper,Liverpool FC,"Jul 1, 2015",Bolton,Fulham,500 K €
28,Virgil van Dijk,28,193.0,Defender - Centre-Back,Liverpool FC,"Sep 1, 2015",Celtic,Southampton,"5,00 mil. €"
29,Joe Gomez,22,188.0,Defender - Centre-Back,Liverpool FC,"Jul 1, 2015",Charlton,Liverpool,"2,50 mil. €"
30,Joel Matip,28,195.0,Defender - Centre-Back,Liverpool FC,,,,
31,Dejan Lovren,30,188.0,Defender - Centre-Back,Liverpool FC,,,,
32,Sepp van den Berg,17,189.0,Defender - Centre-Back,Liverpool FC,,,,
33,Andrew Robertson,25,178.0,Defender - Left-Back,Liverpool FC,,,,
34,Trent Alexander-Arnold,21,180.0,Defender - Right-Back,Liverpool FC,,,,0.0
35,Nathaniel Clyne,28,175.0,Defender - Right-Back,Liverpool FC,"Jul 1, 2015",Southampton,Liverpool,"17,00 mil. €"
36,Fabinho,25,188.0,Midfielder - Defensive Midfield,Liverpool FC,"Jul 1, 2015",Rio Ave FC,Monaco,
37,Georginio Wijnaldum,28,175.0,Midfielder - Central Midfield,Liverpool FC,"Jul 11, 2015",PSV Eindhoven,Newcastle,"15,00 mil. €"
38,Naby Keïta,24,172.0,Midfielder - Central Midfield,Liverpool FC,,,,
39,Jordan Henderson,29,187.0,Midfielder - Central Midfield,Liverpool FC,,,,
40,Alex Oxlade-Chamberlain,26,175.0,Midfielder - Central Midfield,Liverpool FC,,,,
41,James Milner,33,175.0,Midfielder - Central Midfield,Liverpool FC,"Jul 1, 2015",Man City,Liverpool,"14,00 mil. €"
42,Adam Lallana,31,172.0,Midfielder - Attacking Midfield,Liverpool FC,,,,
43,Sadio Mané,27,174.0,Forward - Left Winger,Liverpool FC,,,,
44,Mohamed Salah,27,175.0,Forward - Right Winger,Liverpool FC,"Jun 30, 2016Aug 6, 2015",AS RomaChelsea,ChelseaAS Roma,"23,00 mil. €18,00 mil. €"
45,Xherdan Shaqiri,28,169.0,Forward - Right Winger,Liverpool FC,"Aug 11, 2015Jul 1, 2015",InterBayern Munich,Stoke CityInter,"17,00 mil. €17,00 mil. €"
46,Roberto Firmino,28,181.0,Forward - Centre-Forward,Liverpool FC,"Jul 1, 2015",TSG Hoffenheim,Liverpool,"25,00 mil. €"
47,Divock Origi,24,185.0,Forward - Centre-Forward,Liverpool FC,,,,
48,Hugo Lloris,32,188.0,Goalkeeper,Tottenham Hotspur,,,,
49,Paulo Gazzaniga,27,195.0,Goalkeeper,Tottenham Hotspur,,,,
50,Michel Vorm,35,183.0,Goalkeeper,Tottenham Hotspur,,,,
51,Davinson SÃ¡nchez,23,187.0,Defender - Centre-Back,Tottenham Hotspur,,,,
52,Toby Alderweireld,30,186.0,Defender - Centre-Back,Tottenham Hotspur,"Jul 8, 2015",Atlético Madrid,Spurs,
53,Jan Vertonghen,32,189.0,Defender - Centre-Back,Tottenham Hotspur,,,,
54,Juan Foyth,21,187.0,Defender - Centre-Back,Tottenham Hotspur,,,,
55,Danny Rose,29,173.0,Defender - Left-Back,Tottenham Hotspur,,,,
